iter	Passed	Remaining
315	3658	10235
316	3684	10263
317	3706	10281
318	3748	10351
319	3759	10339
320	3768	10320
321	3778	10302
322	3789	10290
323	3792	10252
324	3802	10237
325	3832	10276
326	3844	10263
327	3850	10237
328	3860	10219
329	3870	10205
330	3880	10187
331	3886	10161
332	3894	10139
333	3903	10121
334	3910	10096
335	3924	10090
336	3927	10056
337	3940	10048
338	3944	10017
339	3953	9999
340	3963	9984
341	3972	9967
342	3982	9951
343	3988	9924
344	3997	9907
345	4010	9897
346	4020	9882
347	4048	9912
348	4066	9915
349	4070	9885
350	4080	9869
351	4089	9852
352	4093	9821
353	4097	9793
354	4114	9792
355	4124	9777
356	4129	9751
357	4135	9726
358	4139	9698
359	4149	9681
360	4168	9687
361	4197	9717
362	4219	9728
363	4231	9717
364	4241	9702
365	4250	9686
366	4256	9660
367	4265	9643
368	4275	9628
369	4294	9633
370	4305	9620
371	4309	9592
372	4334	9610
373	4346	9598
374	4366	9605
375	4377	9593
376	4388	9579
377	4400	9569
378	4411	9556
379	4422	9542
380	4433	9529
381	4443	9516
382	4448	9488
383	4455	9468
384	4475	9473
385	4485	9459
386	4491	9436
387	4498	9414
388	4508	9399
389	4522	9393
390	4532	9377
391	4545	9368
392	4554	9353
393	4564	9336
394	4574	9322
395	4579	9297
396	4589	9282
397	4599	9268
398	4617	9269
399	4628	9257
400	4641	9247
401	4645	9222
402	4655	9207
403	4665	9191
404	4704	9234
405	4731	9254
406	4752	9259
407	4764	9248
408	4774	9234
409	4785	9220
410	4795	9206
411	4806	9192
412	4816	9178
413	4828	9167
414	4846	9167
415	4858	9155
416	4869	9142
417	4893	9154
418	4904	9141
419	4917	9132
420	4927	9117
421	4937	9101
422	4946	9085
423	4956	9072
424	4966	9056
425	4976	9041
426	4987	9028
427	5002	9022
428	5012	9009
429	5023	8995
430	5033	8981
431	5044	8967
432	5048	8942
433	5058	8927
434	5063	8904
435	5068	8882
436	5078	8866
437	5088	8852
438	5099	8839
439	5109	8826
440	5119	8811
441	5129	8797
442	5139	8782
443	5149	8767
444	5158	8752
445	5168	8737
446	5175	8718
447	5185	8703
448	5194	8688
449	5213	8689
450	5256	8729
451	5270	8721
452	5296	8733
453	5315	8734
454	5328	8724
455	5338	8710
456	5377	8743
457	5393	8737
458	5403	8723
459	5413	8709
460	5424	8694
461	5434	8681
462	5443	8665
463	5453	8651
464	5464	8636
465	5473	8621
466	5483	8606
467	5493	8591
468	5502	8576
469	5530	8589
470	5540	8575
471	5562	8579
472	5573	8567
473	5583	8552
474	5609	8561
475	5644	8585
476	5670	8594
477	5680	8580
478	5690	8565
479	5717	8576
480	5731	8567
481	5741	8552
482	5753	8540
483	5763	8526
484	5786	8530
485	5797	8517
486	5809	8505
487	5819	8490
488	5840	8492
489	5883	8524
490	5912	8537
491	5939	8546
492	5998	8603
493	6009	8588
494	6020	8573
495	6030	8559
496	6040	8543
497	6050	8528
498	6060	8513
499	6070	8498
500	6079	8482
501	6088	8465
502	6098	8451
503	6107	8434
504	6117	8418
505	6126	8402
506	6136	8387
507	6146	8372
508	6156	8357
509	6172	8351
510	6182	8336
511	6193	8322
512	6225	8336
513	6248	8338
514	6258	8324
515	6268	8309
516	6282	8299
517	6291	8283
518	6300	8267
519	6330	8278
520	6341	8264
521	6367	8269
522	6388	8269
523	6399	8256
524	6409	8240
525	6424	8232
526	6439	8223
527	6454	8215
528	6477	8216
529	6488	8201
530	6500	8190
531	6510	8175
532	6520	8160
533	6550	8169
534	6580	8179
535	6590	8164
536	6600	8148
537	6609	8133
538	6619	8117
539	6634	8108
540	6661	8114
541	6678	8108
542	6689	8093
543	6699	8078
544	6708	8063
545	6739	8072
546	6752	8060
547	6761	8045
548	6771	8029
549	6790	8025
550	6820	8033
551	6841	8031
552	6864	8031
553	6894	8039
554	6905	8024
555	6914	8009
556	6943	8015
557	6963	8011
558	6973	7996
559	6983	7981
560	6993	7966
561	7041	7993
562	7057	7984
563	7067	7969
564	7077	7954
565	7087	7938
566	7097	7923
567	7107	7907
568	7116	7892
569	7128	7878
570	7138	7863
571	7147	7847
572	7157	7831
573	7166	7815
574	7175	7799
575	7185	7784
576	7195	7769
577	7205	7753
578	7214	7738
579	7224	7722
580	7233	7706
581	7243	7691
582	7252	7675
583	7262	7660
584	7272	7645
585	7295	7643
586	7305	7628
587	7334	7633
588	7344	7618
589	7356	7605
590	7366	7590
591	7376	7575
592	7402	7577
593	7412	7562
594	7422	7547
595	7432	7532
596	7442	7517
597	7452	7502
598	7461	7486
599	7491	7491
600	7522	7497
601	7535	7485
602	7545	7470
603	7555	7454
604	7566	7441
605	7576	7426
606	7586	7411
607	7595	7395
608	7605	7380
609	7614	7365
610	7624	7349
611	7634	7334
612	7644	7319
613	7653	7304
614	7663	7289
615	7676	7277
616	7686	7262
617	7710	7261
618	7721	7247
619	7731	7232
620	7745	7221
621	7755	7206
622	7770	7196
623	7779	7181
624	7791	7168
625	7820	7171
626	7840	7164
627	7884	7181
628	7904	7175
629	7925	7170
630	7978	7194
631	8001	7191
632	8036	7198
633	8048	7185
634	8058	7170
635	8067	7154
636	8087	7147
637	8097	7132
638	8129	7137
639	8140	7123
640	8150	7107
641	8165	7097
642	8196	7100
643	8220	7096
644	8230	7082
645	8240	7066
646	8253	7054
647	8262	7038
648	8271	7022
649	8291	7016
650	8302	7001
651	8311	6985
652	8334	6981
653	8347	6969
654	8357	6953
655	8382	6951
656	8402	6944
657	8428	6942
658	8441	6929
659	8452	6915
660	8474	6910
661	8488	6898
662	8498	6882
663	8523	6880
664	8542	6872
665	8551	6856
666	8562	6841
667	8571	6826
668	8582	6811
669	8591	6796
670	8603	6782
671	8618	6771
672	8628	6757
673	8640	6743
674	8653	6730
675	8676	6725
676	8701	6721
677	8714	6709
678	8726	6695
679	8737	6681
680	8764	6679
681	8807	6689
682	8824	6679
683	8836	6666
684	8852	6655
685	8862	6640
686	8898	6644
687	8910	6631
688	8945	6634
689	8957	6620
690	8974	6610
691	9009	6613
692	9040	6613
693	9051	6599
694	9061	6584
695	9071	6568
696	9091	6561
697	9102	6546
698	9115	6533
699	9131	6522
700	9141	6506
701	9150	6491
702	9163	6477
703	9173	6462
704	9182	6447
705	9192	6432
706	9202	6416
707	9217	6405
708	9228	6390
709	9237	6375
710	9249	6361
711	9259	6346
712	9274	6334
713	9284	6319
714	9294	6304
715	9323	6302
716	9334	6288
717	9353	6278
718	9363	6264
719	9373	6248
720	9401	6246
721	9415	6233
722	9425	6218
723	9435	6203
724	9445	6188
725	9455	6173
726	9464	6157
727	9474	6142
728	9484	6128
729	9495	6113
730	9504	6097
731	9513	6082
732	9526	6069
733	9542	6058
734	9551	6042
735	9560	6027
736	9570	6012
737	9580	5997
738	9596	5986
739	9606	5971
740	9637	5970
741	9648	5955
742	9658	5940
743	9668	5925
744	9677	5910
745	9688	5896
746	9700	5882
747	9709	5867
748	9719	5852
749	9738	5843
750	9749	5828
751	9759	5814
752	9768	5799
753	9778	5784
754	9795	5773
755	9805	5758
756	9815	5744
757	9824	5729
758	9835	5714
759	9849	5702
760	9859	5687
761	9868	5672
762	9877	5657
763	9887	5642
764	9897	5627
765	9907	5613
766	9929	5605
767	9939	5591
768	9949	5576
769	9991	5579
770	10016	5573
771	10056	5575
772	10079	5567
773	10089	5553
774	10099	5538
775	10110	5524
776	10120	5509
777	10130	5495
778	10140	5480
779	10150	5465
780	10159	5450
781	10169	5435
782	10179	5421
783	10189	5406
784	10220	5403
785	10231	5388
786	10242	5375
787	10252	5360
788	10262	5345
789	10272	5331
790	10282	5316
791	10292	5302
792	10301	5287
793	10321	5277
794	10331	5263
795	10366	5261
796	10380	5248
797	10406	5242
798	10417	5228
799	10431	5215
800	10441	5201
801	10451	5186
802	10461	5172
803	10471	5157
804	10482	5143
805	10492	5129
806	10502	5114
807	10512	5099
808	10522	5085
809	10532	5071
810	10542	5056
811	10551	5042
812	10561	5027
813	10571	5013
814	10581	4998
815	10603	4989
816	10613	4975
817	10623	4960
818	10637	4948
819	10663	4941
820	10674	4927
821	10684	4913
822	10694	4898
823	10715	4889
824	10726	4875
825	10735	4861
826	10745	4846
827	10773	4840
828	10792	4830
829	10803	4815
830	10818	4803
831	10828	4789
832	10852	4781
833	10869	4770
834	10900	4764
835	10913	4751
836	10929	4739
837	10974	4740
838	10986	4727
839	10996	4712
840	11006	4698
841	11015	4683
842	11025	4669
843	11034	4654
844	11046	4640
845	11056	4626
846	11071	4614
847	11081	4599
848	11091	4585
849	11100	4570
850	11119	4560
851	11130	4546
852	11142	4532
853	11152	4518
854	11162	4504
855	11172	4489
856	11191	4479
857	11201	4464
858	11210	4450
859	11220	4435
860	11229	4421
861	11246	4409
862	11257	4395
863	11267	4381
864	11285	4370
865	11295	4356
866	11305	4342
867	11329	4333
868	11340	4319
869	11358	4308
870	11374	4296
871	11417	4294
872	11429	4281
873	11439	4266
874	11452	4253
875	11463	4239
876	11472	4225
877	11482	4211
878	11499	4199
879	11510	4185
880	11519	4171
881	11529	4156
882	11539	4142
883	11549	4128
884	11609	4132
885	11623	4119
886	11648	4110
887	11658	4096
888	11672	4083
889	11707	4077
890	11717	4063
891	11727	4049
892	11742	4037
893	11752	4022
894	11762	4008
895	11771	3994
896	11781	3979
897	11790	3965
898	11800	3951
899	11810	3936
900	11820	3922
901	11831	3908
902	11840	3894
903	11850	3880
904	11860	3866
905	11870	3852
906	11882	3838
907	11892	3824
908	11902	3810
909	11912	3796
910	11941	3788
911	11960	3777
912	11971	3763
913	11980	3748
914	11990	3734
915	12000	3720
916	12016	3708
917	12027	3694
918	12048	3684
919	12058	3670
920	12068	3655
921	12077	3641
922	12094	3629
923	12105	3615
924	12115	3601
925	12124	3587
926	12159	3581
927	12170	3567
928	12180	3553
929	12189	3539
930	12200	3525
931	12239	3519
932	12251	3505
933	12274	3495
934	12303	3487
935	12323	3475
936	12338	3463
937	12348	3449
938	12378	3440
939	12409	3432
940	12442	3424
941	12455	3411
942	12487	3403
943	12499	3389
944	12518	3378
945	12529	3364
946	12539	3350
947	12557	3337
948	12567	3323
949	12576	3309
950	12586	3295
951	12596	3281
952	12606	3267
953	12616	3253
954	12636	3241
955	12646	3227
956	12656	3213
957	12666	3199
958	12676	3185
959	12686	3171
960	12710	3161
961	12720	3147
962	12742	3136
963	12773	3127
964	12792	3115
965	12802	3101
966	12812	3087
967	12823	3073
968	12833	3059
969	12843	3045
970	12854	3031
971	12865	3017
972	12875	3003
973	12907	2994
974	12919	2981
975	12929	2967
976	12959	2957
977	12970	2944
978	13005	2935
979	13019	2922
980	13029	2908
981	13039	2894
982	13051	2881
983	13060	2867
984	13089	2857
985	13136	2851
986	13157	2839
987	13200	2832
988	13225	2821
989	13236	2807
990	13246	2793
991	13256	2779
992	13272	2766
993	13282	2752
994	13292	2738
995	13310	2726
996	13341	2716
997	13367	2705
998	13399	2695
999	13410	2682
1000	13421	2668
1001	13430	2653
1002	13440	2639
1003	13450	2625
1004	13468	2613
1005	13478	2599
1006	13491	2585
1007	13501	2571
1008	13511	2557
1009	13521	2543
1010	13530	2529
1011	13540	2515
1012	13572	2505
1013	13587	2492
1014	13602	2479
1015	13618	2466
1016	13646	2455
1017	13656	2441
1018	13683	2430
1019	13716	2420
1020	13737	2408
1021	13762	2397
1022	13779	2384
1023	13790	2370
1024	13806	2357
1025	13817	2343
1026	13842	2331
1027	13874	2321
1028	13895	2309
1029	13920	2297
1030	13933	2284
1031	13943	2269
1032	13966	2257
1033	13976	2243
1034	14022	2235
1035	14042	2222
1036	14053	2208
1037	14062	2194
1038	14092	2183
1039	14106	2170
1040	14115	2155
1041	14125	2141
1042	14135	2127
1043	14145	2113
1044	14155	2099
1045	14165	2085
1046	14208	2076
1047	14224	2063
1048	14249	2051
1049	14267	2038
1050	14277	2024
1051	14287	2009
1052	14300	1996
1053	14311	1982
1054	14348	1972
1055	14364	1958
1056	14379	1945
1057	14391	1931
1058	14412	1918
1059	14427	1905
1060	14438	1891
1061	14451	1877
1062	14462	1863
1063	14473	1850
1064	14498	1837
1065	14509	1823
1066	14521	1810
1067	14545	1797
1068	14569	1785
1069	14586	1772
1070	14597	1758
1071	14624	1746
1072	14635	1732
1073	14656	1719
1074	14667	1705
1075	14678	1691
1076	14695	1678
1077	14706	1664
1078	14742	1653
1079	14758	1639
1080	14768	1625
1081	14782	1612
1082	14792	1598
1083	14802	1583
1084	14814	1570
1085	14824	1556
1086	14834	1542
1087	14845	1528
1088	14855	1514
1089	14877	1501
1090	14887	1487
1091	14899	1473
1092	14923	1460
1093	14933	1446
1094	14946	1433
1095	14956	1419
1096	14965	1405
1097	14975	1391
1098	14985	1377
1099	14995	1363
1100	15009	1349
1101	15034	1337
1102	15082	1326
1103	15097	1312
1104	15113	1299
1105	15123	1285
1106	15134	1271
1107	15144	1257
1108	15153	1243
1109	15163	1229
1110	15194	1217
1111	15205	1203
1112	15215	1189
1113	15225	1175
1114	15235	1161
1115	15254	1148
1116	15265	1134
1117	15289	1121
1118	15309	1108
1119	15325	1094
1120	15339	1081
1121	15349	1067
1122	15363	1053
1123	15374	1039
1124	15384	1025
1125	15395	1011
1126	15411	998
1127	15426	984
1128	15434	970
1129	15444	956
1130	15453	942
1131	15463	928
1132	15493	916
1133	15503	902
1134	15520	888
1135	15530	874
1136	15540	861
1137	15549	847
1138	15559	833
1139	15569	819
1140	15578	805
1141	15589	791
1142	15599	777
1143	15608	764
1144	15618	750
1145	15648	737
1146	15658	723
1147	15668	709
1148	15678	695
1149	15693	682
1150	15703	668
1151	15725	655
1152	15740	641
1153	15756	628
1154	15766	614
1155	15778	600
1156	15789	586
1157	15798	573
1158	15808	559
1159	15837	546
1160	15847	532
1161	15857	518
1162	15866	504
1163	15876	491
1164	15885	477
1165	15898	463
1166	15914	450
1167	15929	436
1168	15945	422
1169	15955	409
1170	15980	395
1171	16000	382
1172	16025	368
1173	16035	355
1174	16045	341
1175	16072	328
1176	16090	314
1177	16100	300
1178	16110	286
1179	16123	273
1180	16133	259
1181	16148	245
1182	16164	232
1183	16174	218
1184	16184	204
1185	16194	191
1186	16204	177
1187	16218	163
1188	16276	150
1189	16298	136
1190	16308	123
1191	16317	109
1192	16327	95
1193	16337	82
1194	16346	68
1195	16356	54
1196	16368	41
1197	16384	27
1198	16400	13
1199	16410	0
