iter	Logloss
0	0.6844863373
1	0.6774918329
2	0.6692614748
3	0.6629247694
4	0.6565537886
5	0.6507027688
6	0.6470967651
7	0.6436461704
8	0.6379133871
9	0.6320717044
10	0.6274728484
11	0.6226057224
12	0.6187833793
13	0.6136984365
14	0.6100056859
15	0.6050648291
16	0.6014775753
17	0.5982615931
18	0.5938994973
19	0.5917872938
20	0.5884301586
21	0.5855261866
22	0.5826528895
23	0.5788547493
24	0.5758999477
25	0.572950917
26	0.5698023089
27	0.5669907786
28	0.5640214597
29	0.5608960982
30	0.5590622046
31	0.5562789124
32	0.5534716975
33	0.5509911733
34	0.5482542455
35	0.5463108935
36	0.5442225475
37	0.541719433
38	0.5395636619
39	0.5376744708
40	0.5360230029
41	0.5342193674
42	0.532051293
43	0.5304762549
44	0.5288528661
45	0.5278244742
46	0.5264876776
47	0.5251659353
48	0.5238602855
49	0.5225375778
50	0.5212133447
51	0.5199700627
52	0.5187705917
53	0.5171478381
54	0.5160184276
55	0.5145830095
56	0.5134039873
57	0.5123382478
58	0.5115892129
59	0.510088563
60	0.5097351144
61	0.5086106764
62	0.5071748613
63	0.5066014281
64	0.5056550043
65	0.5052209966
66	0.5044799381
67	0.503289845
68	0.502596379
69	0.5019374469
70	0.501198745
71	0.500335684
72	0.4991327655
73	0.4984281502
74	0.4976737542
75	0.4968840311
76	0.4965320541
77	0.4954938413
78	0.4947214604
79	0.4941219786
80	0.4935187626
81	0.4930030994
82	0.4927692118
83	0.4919452332
84	0.4914008116
85	0.490930506
86	0.4904499617
87	0.4895432255
88	0.4886825691
89	0.4879450813
90	0.4872123255
91	0.486851898
92	0.4864991445
93	0.4860276276
94	0.4855416775
95	0.485100329
96	0.4847593031
97	0.4846385358
98	0.4842941605
99	0.4837026024
100	0.4832292852
101	0.4828971275
102	0.4824395069
103	0.4818643413
104	0.4816880468
105	0.4815802825
106	0.4813605382
107	0.4811596674
108	0.4806764882
109	0.4802545016
110	0.4800913199
111	0.4798796533
112	0.4794236093
113	0.4790515768
114	0.4788184159
115	0.4784691854
116	0.4780262893
117	0.477406389
118	0.4768174664
119	0.4764625472
120	0.4760513352
121	0.4756101398
122	0.4753549871
123	0.475249723
124	0.4751732388
125	0.4748701315
126	0.4746312035
127	0.474569226
128	0.474318315
129	0.4741864308
130	0.4740701433
131	0.4739962405
132	0.473856906
133	0.4737322226
134	0.4733605405
135	0.4730279405
136	0.4729235465
137	0.4727349855
138	0.4726259939
139	0.4723980977
140	0.4721285254
141	0.4716575581
142	0.4714317304
143	0.4712721299
144	0.4709538636
145	0.4708350681
146	0.4705086905
147	0.4704945142
148	0.4703721145
149	0.4699798085
150	0.4699056051
151	0.4697174014
152	0.4694280393
153	0.4689967763
154	0.4689735622
155	0.4687483235
156	0.4686136568
157	0.468465125
158	0.4682799461
159	0.4681025729
160	0.4680267033
161	0.4677564581
162	0.4676725455
163	0.4675478031
164	0.4673278943
165	0.4673166385
166	0.4671310131
167	0.4670862075
168	0.466844535
169	0.4663199744
170	0.4657830056
171	0.4652991869
172	0.4650468415
173	0.4650299252
174	0.4646972645
175	0.4646277716
176	0.4645135846
177	0.4642614832
178	0.4640983952
179	0.4638082688
180	0.463685017
181	0.4636723145
182	0.4636053592
183	0.4635854289
184	0.4634264236
185	0.4632612475
186	0.4632441117
187	0.4629492533
188	0.4629196876
189	0.462892026
190	0.4628790901
191	0.4624624358
192	0.4621459011
193	0.4621041623
194	0.4617653109
195	0.461753728
196	0.461597657
197	0.4615976492
198	0.4615555924
199	0.4615234178
200	0.4614911265
201	0.4614907
202	0.4614358557
203	0.4612408502
204	0.4610687846
205	0.4607969949
206	0.4606534025
207	0.4605143031
208	0.4605137948
209	0.4603327083
210	0.4601528348
211	0.460073772
212	0.4596564122
213	0.459404668
214	0.4593017793
215	0.4592543233
216	0.4592269749
217	0.4589216954
218	0.4588932232
219	0.4587068573
220	0.458445094
221	0.4581570465
222	0.4580986395
223	0.4579774303
224	0.4578919159
225	0.4578481082
226	0.45772381
227	0.4576009794
228	0.4574855149
229	0.4574378763
230	0.4572506577
231	0.4569740133
232	0.456943628
233	0.4569093501
234	0.4564350751
235	0.4563705202
236	0.4563169655
237	0.4562936185
238	0.4562710943
239	0.4562707045
240	0.4561423311
241	0.4559486988
242	0.4557930061
243	0.4556116255
244	0.4556016878
245	0.4555649371
246	0.4550856513
247	0.454836761
248	0.45476318
249	0.4547067502
250	0.4546319139
251	0.4544694955
252	0.454461037
253	0.4543781935
254	0.4540865984
255	0.4539898319
256	0.4539403318
257	0.4537107771
258	0.4536901789
259	0.4536080049
260	0.4535551402
261	0.4533331694
262	0.4530259688
263	0.4530063792
264	0.4528731328
265	0.4527491905
266	0.4524513692
267	0.4524474935
268	0.4521573036
269	0.4521529431
270	0.4520693178
271	0.451794431
272	0.4516848854
273	0.4516846132
274	0.4515234648
275	0.4515234625
276	0.4515228685
277	0.4514836695
278	0.4514136326
279	0.4514136318
280	0.4513908623
281	0.4513908613
282	0.4513354864
283	0.4511401932
284	0.4510502424
285	0.4509386227
286	0.4509283963
287	0.4508369963
288	0.4507528772
289	0.4506612049
290	0.4506561552
291	0.4503101926
292	0.4501839944
293	0.4500553902
294	0.4498921156
295	0.4498335998
296	0.4498305084
297	0.4498242719
298	0.4497520518
299	0.4497518152
300	0.4496975677
301	0.4496962188
302	0.449420801
303	0.4493507039
304	0.4493267295
305	0.4492618774
306	0.4490110707
307	0.4489374208
308	0.4485260429
309	0.448465335
310	0.4482955487
311	0.4481447187
312	0.4480455344
313	0.4478158884
314	0.4477923897
315	0.4477372934
316	0.447720098
317	0.4475182121
318	0.4474535261
319	0.4473084234
320	0.4472446998
321	0.4471862222
322	0.4470522136
323	0.4470522124
324	0.4469377278
325	0.4466667509
326	0.4466305543
327	0.446610102
328	0.4465809874
329	0.4465075047
330	0.4464527205
331	0.4464453939
332	0.4464059151
333	0.4464001164
334	0.4463641271
335	0.4462564953
336	0.4462564887
337	0.4460797949
338	0.4460792287
339	0.4460195888
340	0.4455995861
341	0.4455632063
342	0.445403714
343	0.4454020676
344	0.44528233
345	0.4451564622
346	0.4449989838
347	0.4449852481
348	0.4447638366
349	0.4447257186
350	0.4446922309
351	0.4445375792
352	0.4445374584
353	0.4445015478
354	0.4443998737
355	0.44433341
356	0.4443332024
357	0.4443181802
358	0.4442975376
359	0.4441852587
360	0.444143156
361	0.4440300688
362	0.4439632013
363	0.4438425432
364	0.443625824
365	0.4435829217
366	0.4435506475
367	0.4434032516
368	0.4432811301
369	0.4430411304
370	0.4428256277
371	0.4428241072
372	0.4426847687
373	0.44243442
374	0.4421897963
375	0.4421397789
376	0.4420504202
377	0.442027031
378	0.4419287355
379	0.4417650298
380	0.4417224665
381	0.4414751979
382	0.4414737514
383	0.4414592781
384	0.4413905282
385	0.4411433061
386	0.4411432367
387	0.4410933683
388	0.44095242
389	0.4407470451
390	0.4406567651
391	0.4405975311
392	0.4404306366
393	0.4401270074
394	0.4401096789
395	0.4401044918
396	0.4398974832
397	0.4398180795
398	0.4393494136
399	0.4390733812
400	0.4388311522
401	0.4388286846
402	0.4386923611
403	0.4385805287
404	0.4383616884
405	0.438086763
406	0.4378981665
407	0.4378365459
408	0.4378343468
409	0.4377364444
410	0.4375766765
411	0.4375396321
412	0.4374454578
413	0.4373126688
414	0.4372856931
415	0.4371735722
416	0.4371680343
417	0.4369314495
418	0.4367920862
419	0.4363687328
420	0.436351931
421	0.436282445
422	0.4361199167
423	0.4359803779
424	0.4357523773
425	0.4355847649
426	0.4355250502
427	0.4353950504
428	0.4352809988
429	0.4352591386
430	0.4351277751
431	0.4348075458
432	0.4348075049
433	0.4347089579
434	0.4346879781
435	0.434669019
436	0.4344253178
437	0.4341709797
438	0.4339940651
439	0.4338750842
440	0.4336582928
441	0.4333307693
442	0.4332109542
443	0.4330495884
444	0.4329321851
445	0.4329178531
446	0.432898571
447	0.4325494416
448	0.4323252688
449	0.4320836999
450	0.4319574791
451	0.4318989839
452	0.4318529199
453	0.4316913516
454	0.4314502605
455	0.431178487
456	0.4311211203
457	0.4310493642
458	0.4308804267
459	0.4308189325
460	0.4307393759
461	0.430591974
462	0.4304223648
463	0.4302101783
464	0.4300583586
465	0.4299999109
466	0.4298306099
467	0.4296012269
468	0.42940851
469	0.4292163306
470	0.4289657232
471	0.4288332107
472	0.428628691
473	0.4285217711
474	0.4285157645
475	0.4280714689
476	0.4278724621
477	0.4277837732
478	0.4276612988
479	0.4275322419
480	0.4273898853
481	0.4272724875
482	0.4271315486
483	0.4270778074
484	0.4266659589
485	0.4265016952
486	0.4264356197
487	0.4263342516
488	0.4260155923
489	0.4256481681
490	0.4256232725
491	0.4254038998
492	0.4253075419
493	0.4252123152
494	0.4251481761
495	0.4249267421
496	0.4246799053
497	0.4245544934
498	0.4243637682
499	0.4242072378
500	0.4241927351
501	0.4240847899
502	0.4240759317
503	0.4239991584
504	0.4239119965
505	0.4237201813
506	0.4235323867
507	0.4234747303
508	0.4233150828
509	0.4232302646
510	0.4232046345
511	0.4231875103
512	0.4229609874
513	0.4226556019
514	0.4224203327
515	0.4224032707
516	0.4221125864
517	0.4220385028
518	0.4219713961
519	0.4216980346
520	0.4215352826
521	0.4213459174
522	0.4213323296
523	0.4211235294
524	0.4207663015
525	0.4205835497
526	0.4205153439
527	0.4204080384
528	0.4201601688
529	0.4200513708
530	0.4198918174
531	0.4198207383
532	0.4197878059
533	0.4194250949
534	0.4193432408
535	0.418984843
536	0.418709489
537	0.4185907111
538	0.4185426781
539	0.4182622661
540	0.4182324709
541	0.4178131163
542	0.4175377322
543	0.4172906686
544	0.4171082666
545	0.41707599
546	0.4169915508
547	0.4166453845
548	0.4165952132
549	0.4165657975
550	0.4165535347
551	0.4164091176
552	0.416217431
553	0.4160632566
554	0.4160561643
555	0.4158598755
556	0.4157135962
557	0.4156454741
558	0.4155226107
559	0.4153989694
560	0.4151884455
561	0.415139094
562	0.4150155294
563	0.4150087184
564	0.4149501761
565	0.4147762581
566	0.4147281313
567	0.4145191561
568	0.4144945889
569	0.4143901278
570	0.4142095136
571	0.4140427241
572	0.4138269689
573	0.4136455004
574	0.4134408081
575	0.4133421959
576	0.4132600315
577	0.4130790735
578	0.4126877211
579	0.4124804617
580	0.4124136834
581	0.4121048486
582	0.4119313022
583	0.4118354279
584	0.4115551469
585	0.4113625834
586	0.4113269775
587	0.4112735799
588	0.4112398892
589	0.4111320173
590	0.4108786029
591	0.4106742452
592	0.4105653559
593	0.4104639567
594	0.4104007141
595	0.4103305282
596	0.4101417293
597	0.4099562096
598	0.4099265811
599	0.4096113609
600	0.4094825063
601	0.4094323997
602	0.4093779427
603	0.4092305394
604	0.4091451299
605	0.4088871481
606	0.4087882828
607	0.408649358
608	0.4084700086
609	0.4084555971
610	0.4083914236
611	0.4083070988
612	0.4081259324
613	0.4079655994
614	0.4078089789
615	0.4077499239
616	0.4075561095
617	0.4074278649
618	0.4074074838
619	0.4072095675
620	0.4070435281
621	0.4069319451
622	0.4068396881
623	0.406831744
624	0.4067820919
625	0.4066816904
626	0.4065667173
627	0.4063669527
628	0.4063201092
629	0.4062565238
630	0.4060035378
631	0.4059267949
632	0.4057987376
633	0.4057001673
634	0.4054649271
635	0.4054583107
636	0.405323396
637	0.4052955975
638	0.4051879492
639	0.4050088282
640	0.4049440965
641	0.4047862651
642	0.4045157805
643	0.4044922253
644	0.404390351
645	0.4041460562
646	0.4041259826
647	0.4038945064
648	0.4037100848
649	0.4035719646
650	0.4034019553
651	0.4032798155
652	0.4031528698
653	0.4030882157
654	0.4030097521
655	0.4029364544
656	0.4027657782
657	0.4027053729
658	0.402626825
659	0.4023457794
660	0.4022063758
661	0.402130092
662	0.4019090524
663	0.4018573665
664	0.4016831871
665	0.4016403927
666	0.4014502267
667	0.4014429421
668	0.4013144219
669	0.4012870514
670	0.4012458912
671	0.401158753
672	0.4009412301
673	0.4007756527
674	0.400703898
675	0.4006661681
676	0.4005116372
677	0.4003055416
678	0.4002614772
679	0.4001731033
680	0.4000204184
681	0.399957369
682	0.399879646
683	0.3998143889
684	0.3997054538
685	0.3996983593
686	0.3995721992
687	0.3995660631
688	0.3994810789
689	0.3994190538
690	0.399228568
691	0.3990755541
692	0.3989901164
693	0.3988459867
694	0.3987570775
695	0.3987249751
696	0.3986207879
697	0.3984067197
698	0.3982930115
699	0.3982273254
700	0.3981639712
701	0.3979680246
702	0.3979236207
703	0.3978762115
704	0.3977158826
705	0.3976296918
706	0.3976238377
707	0.3974669669
708	0.3974119222
709	0.3972583344
710	0.3971169047
711	0.3970488679
712	0.3969058497
713	0.3968192186
714	0.3965866149
715	0.3964241079
716	0.3963797696
717	0.3961807343
718	0.3961660144
719	0.3960703441
720	0.3959820061
721	0.3957189995
722	0.3954872358
723	0.3954683658
724	0.3952358826
725	0.3950181479
726	0.3949010213
727	0.3948626021
728	0.3948260885
729	0.3945000847
730	0.3944632502
731	0.3943741957
732	0.3942542796
733	0.3940381651
734	0.3938311948
735	0.3937889135
736	0.3937625532
737	0.3936322518
738	0.3933289693
739	0.393314843
740	0.3932685178
741	0.39315934
742	0.3930771787
743	0.3930486026
744	0.3930325619
745	0.3929698683
746	0.3929097521
747	0.3928958904
748	0.3928339401
749	0.3927786975
750	0.3926097987
751	0.3925512845
752	0.3924703203
753	0.3924569106
754	0.3924353985
755	0.3923775383
756	0.3923436452
757	0.3922764412
758	0.3921749472
759	0.3920310085
760	0.3919537219
761	0.3919389443
762	0.3917327717
763	0.3916519517
764	0.3915065249
765	0.3915008417
766	0.3914456129
767	0.3914110607
768	0.3913523209
769	0.3913203654
770	0.391286036
771	0.3911078152
772	0.3909862025
773	0.390895596
774	0.3908093074
775	0.3907591255
776	0.390621965
777	0.3905695617
778	0.3905154265
779	0.3903725853
780	0.3900764891
781	0.3900710071
782	0.3900585202
783	0.389974027
784	0.3899270225
785	0.3898475349
786	0.3898334405
787	0.389718391
788	0.3896180426
789	0.3894727719
790	0.3893538833
791	0.3893033884
792	0.3891780603
793	0.38914594
794	0.3890644068
795	0.3890081647
796	0.3889841473
797	0.3888214626
798	0.3888162433
799	0.3887443191
800	0.388584884
801	0.3884544359
802	0.3883657748
803	0.3882046134
804	0.388120109
805	0.3879099625
806	0.3879047696
807	0.3878500796
808	0.387729251
809	0.3875836963
810	0.3875713154
811	0.3874241913
812	0.3873108248
813	0.3872260286
814	0.3871699132
815	0.3871515835
816	0.3870771985
817	0.3869569962
818	0.3868828191
819	0.3867177281
820	0.3866886875
821	0.386482443
822	0.3862620188
823	0.3861301521
824	0.3860457136
825	0.3858604116
826	0.3857724605
827	0.3857532472
828	0.3856717537
829	0.3856532281
830	0.3855550044
831	0.3854461107
832	0.3851879925
833	0.3851389052
834	0.3850189068
835	0.3850008774
836	0.3849227994
837	0.3848624623
838	0.3846972513
839	0.3846799871
840	0.3845981187
841	0.3844237235
842	0.3843999765
843	0.3843728476
844	0.3842933739
845	0.3842111012
846	0.3839456604
847	0.3838348024
848	0.3838031407
849	0.3835707932
850	0.3834921368
851	0.3833988699
852	0.3833393288
853	0.3831994213
854	0.3831044144
855	0.3829858967
856	0.3828807768
857	0.3828633704
858	0.3826776256
859	0.3826384234
860	0.3825592923
861	0.3823257917
862	0.3821970812
863	0.3820983955
864	0.3820344696
865	0.3818557365
866	0.3817613276
867	0.3817035784
868	0.3813798485
869	0.3811401115
870	0.3811238669
871	0.3809603589
872	0.3809166517
873	0.3807701891
874	0.3806381664
875	0.3804812622
876	0.3804363989
877	0.3804236797
878	0.3802896771
879	0.380228803
880	0.3800632561
881	0.3799886538
882	0.3798531986
883	0.3798417522
884	0.3797873096
885	0.3797282641
886	0.3796568165
887	0.3796209832
888	0.379492618
889	0.3794721815
890	0.3794332901
891	0.3792220431
892	0.3791536357
893	0.3790639926
894	0.37904379
895	0.3788130438
896	0.3786896707
897	0.3784991865
898	0.3784675344
899	0.3783955868
900	0.3783516199
901	0.3782039645
902	0.3781790648
903	0.3780477676
904	0.3779643645
905	0.3777730203
906	0.3776197196
907	0.3774320962
908	0.3773883465
909	0.3773037383
910	0.3772526089
911	0.3772284653
912	0.377090405
913	0.3770409432
914	0.3770086784
915	0.3769130424
916	0.3767449014
917	0.3765648456
918	0.3765368408
919	0.3763188109
920	0.3762519557
921	0.37624062
922	0.3761980999
923	0.3761106251
924	0.3759356438
925	0.3758645362
926	0.3758196371
927	0.3758114812
928	0.3756420358
929	0.3756134856
930	0.3755299497
931	0.3754110812
932	0.3753876263
933	0.3752863831
934	0.3752186085
935	0.3752144024
936	0.3750520088
937	0.3749475906
938	0.3748612499
939	0.3747273933
940	0.3746890971
941	0.3746108458
942	0.3745148217
943	0.3743144271
944	0.3742698111
945	0.3742316772
946	0.3742259874
947	0.3740704004
948	0.3740405945
949	0.373787834
950	0.3737751214
951	0.3737125705
952	0.3735129925
953	0.373447075
954	0.3734252152
955	0.3733760899
956	0.373332083
957	0.3732590284
958	0.3731679747
959	0.3729341599
960	0.3726973572
961	0.372625628
962	0.3724428303
963	0.3724251355
964	0.3723633441
965	0.3723511691
966	0.3722778289
967	0.3721131116
968	0.3718968045
969	0.3718652224
970	0.3718024689
971	0.3717408314
972	0.371705402
973	0.3716899015
974	0.3714899751
975	0.3714275524
976	0.3714105094
977	0.3713437481
978	0.3712433584
979	0.3711723732
980	0.3711284517
981	0.3710960374
982	0.370850727
983	0.37083032
984	0.370813319
985	0.3706818955
986	0.3705137644
987	0.3703496478
